iter	Logloss
0	0.6831788202
1	0.673851475
2	0.6668539402
3	0.6583780876
4	0.6510233481
5	0.6457881399
6	0.6394711463
7	0.6346848508
8	0.6313561619
9	0.6264165202
10	0.6220373775
11	0.6193302962
12	0.6163852273
13	0.6112878844
14	0.6089825404
15	0.6059930157
16	0.604005411
17	0.6016513042
18	0.5990386793
19	0.5962773264
20	0.5943682957
21	0.5929909295
22	0.5910225818
23	0.5895201007
24	0.5866058093
25	0.5848416684
26	0.5830619963
27	0.5817650222
28	0.580374652
29	0.578275292
30	0.5769444113
31	0.5761855688
32	0.5754964264
33	0.5749265058
34	0.5734120939
35	0.5724909644
36	0.5713614887
37	0.5703571185
38	0.5698286471
39	0.5690873324
40	0.5688504354
41	0.5684260395
42	0.5679652862
43	0.5673219533
44	0.5667355593
45	0.5661524074
46	0.5656082467
47	0.5651326087
48	0.5650979083
49	0.5640652161
50	0.563626267
51	0.5634706476
52	0.5633613744
53	0.5631229632
54	0.5628186567
55	0.5617779721
56	0.5610523294
57	0.5607156276
58	0.5603316921
59	0.5599325527
60	0.5599281026
61	0.5592403338
62	0.5584901001
63	0.558089879
64	0.5576137278
65	0.557611387
66	0.5575159391
67	0.5573033663
68	0.5572388714
69	0.5572368267
70	0.5571156404
71	0.5570416207
72	0.5569265042
73	0.5564190513
74	0.556418202
75	0.5561105976
76	0.5556206918
77	0.5551665629
78	0.5550637022
79	0.5550246396
80	0.5546430241
81	0.55458271
82	0.5543372174
83	0.5543369634
84	0.5542006639
85	0.5539966096
86	0.553853281
87	0.5538532561
88	0.553755977
89	0.5535874027
90	0.553232704
91	0.552379469
92	0.5520352867
93	0.551779381
94	0.551570262
95	0.5515702567
96	0.5515702462
97	0.5514920924
98	0.5514162323
99	0.5514162235
100	0.5507145854
101	0.5506829484
102	0.5504982223
103	0.5503884682
104	0.5501930956
105	0.5501930954
106	0.5501535812
107	0.5499370097
108	0.5499370094
109	0.5497522747
110	0.5497522742
111	0.5495674416
112	0.5493964321
113	0.549257805
114	0.5492578049
115	0.5488033675
116	0.5488033668
117	0.5488033655
118	0.5488033632
119	0.5485835604
120	0.5485580283
121	0.5479863704
122	0.5477454802
123	0.5477216182
124	0.5474402212
125	0.5474402055
126	0.5467365533
127	0.5467003374
128	0.5465845767
129	0.5464765956
130	0.5462341028
131	0.5462340921
132	0.5462340871
133	0.5460519278
134	0.5458601141
135	0.5458528034
136	0.5458527908
137	0.5458527842
138	0.5458257741
139	0.5457047664
140	0.5454549049
141	0.5451647256
142	0.5451647224
143	0.5451645635
144	0.5450725737
145	0.5448358323
146	0.5448358212
147	0.5446604425
148	0.5445070782
149	0.5445070714
150	0.5445070635
151	0.5444485369
152	0.5444485249
153	0.5444485142
154	0.5440045436
155	0.5440045386
156	0.5439180081
157	0.5438531591
158	0.543814289
159	0.5435199018
160	0.5434837336
161	0.543483732
162	0.5433228674
163	0.5429295697
164	0.5429295597
165	0.5428630842
166	0.5428288064
167	0.5428278859
168	0.542527056
169	0.5423468147
170	0.542009638
171	0.5417499622
172	0.5417453012
173	0.5416041629
174	0.5413621013
175	0.5412383354
176	0.541003926
177	0.5408247581
178	0.5406830396
179	0.5404886273
180	0.540386101
181	0.5400794557
182	0.5400525036
183	0.5400490947
184	0.5396849027
185	0.5394135212
186	0.5392254103
187	0.5388966391
188	0.5381104817
189	0.5379769696
190	0.5378530699
191	0.5376715534
192	0.537538128
193	0.5373832511
194	0.537060778
195	0.5367817039
196	0.5362630413
197	0.5355420959
198	0.5350122132
199	0.534770111
200	0.5345779276
201	0.5343846225
202	0.5340927084
203	0.533913122
204	0.5338009066
205	0.5334573014
206	0.5333648646
207	0.5329760091
208	0.5326333865
209	0.5323457761
210	0.5320391582
211	0.5318002272
212	0.5314907113
213	0.5311803566
214	0.5308885271
215	0.5305029993
216	0.5300928979
217	0.5299280432
218	0.5297318159
219	0.5294604799
220	0.5289412297
221	0.5285204604
222	0.5282782494
223	0.5281504714
224	0.527969765
225	0.5274343613
226	0.5273717732
227	0.5272231591
228	0.5267436925
229	0.5266203415
230	0.5262717014
231	0.5261838307
232	0.5257958973
233	0.5254791568
234	0.5249700497
235	0.5247891754
236	0.5244780887
237	0.5243786798
238	0.5237774438
239	0.5236530604
240	0.5234333749
241	0.5231134481
242	0.522775823
243	0.5225737391
244	0.5222751942
245	0.5218606244
246	0.5214866418
247	0.5211284589
248	0.5209546467
249	0.5203995155
250	0.5200221797
251	0.5198780818
252	0.5193942043
253	0.5192671578
254	0.5188926147
255	0.5184507784
256	0.5182715241
257	0.5181789764
258	0.5177725777
259	0.5173426902
260	0.517058328
261	0.5169518367
262	0.5166650661
263	0.5165333992
264	0.516416419
265	0.5160950108
266	0.5156748569
267	0.5153383902
268	0.5153004722
269	0.5151775937
270	0.5149953767
271	0.5146721337
272	0.5145511939
273	0.5142653396
274	0.5139516728
275	0.5138528595
276	0.5136194467
277	0.5130944778
278	0.513060114
279	0.5129212035
280	0.5127612615
281	0.5124384404
282	0.5123949988
283	0.5119377152
284	0.5118838655
285	0.5116020001
286	0.5114875146
287	0.511305089
288	0.5111138397
289	0.5106783131
290	0.5104705962
291	0.5103119174
292	0.5100387527
293	0.5099043089
294	0.5098265491
295	0.5096951932
296	0.5095587319
297	0.5094697548
298	0.5092863908
299	0.508780057
300	0.5087350583
301	0.5084770282
302	0.5081416662
303	0.5077179563
304	0.5074817508
305	0.5074240134
306	0.5072088339
307	0.5071170671
308	0.5067740949
309	0.5063579594
310	0.5062543504
311	0.505743645
312	0.5055952867
313	0.5055053732
314	0.5052826719
315	0.5049947832
316	0.5049027184
317	0.5048620571
318	0.5047549123
319	0.5044745562
320	0.5043546841
321	0.5042172074
322	0.5040302866
323	0.5038951699
324	0.5037547637
325	0.5032878058
326	0.5031847386
327	0.5030229863
328	0.5028159825
329	0.502588263
330	0.5024346697
331	0.502300418
332	0.5021369749
333	0.501937635
334	0.5018533214
335	0.5015717735
336	0.5008996638
337	0.5006640571
338	0.5005706478
339	0.5004976162
340	0.5002675445
341	0.5000691742
342	0.4999724851
343	0.49979671
344	0.4994033701
345	0.4992389274
346	0.4988460323
347	0.4987460521
348	0.4985647959
349	0.4984066109
350	0.4982667246
351	0.49814005
352	0.4979899321
353	0.4974622539
354	0.4972288151
355	0.4970730398
356	0.4968177203
357	0.4963136405
358	0.4961102828
359	0.4959896212
360	0.4957445664
361	0.4954098993
362	0.4953866662
363	0.4950646696
364	0.4949251668
365	0.4949021771
366	0.494551514
367	0.4944465439
368	0.4943988654
369	0.4942796837
370	0.4938716732
371	0.4936746507
372	0.4935289734
373	0.4933752706
374	0.4932024038
375	0.4928189208
376	0.492565985
377	0.49230206
378	0.4920886002
379	0.4918318345
380	0.4917899767
381	0.4915794066
382	0.4914676486
383	0.4911425151
384	0.4907540629
385	0.4904343342
386	0.4902254461
387	0.4900713018
388	0.4899341273
389	0.489730438
390	0.4894716151
391	0.4892274614
392	0.4888340827
393	0.4887297849
394	0.4885179684
395	0.4884184992
396	0.4883526278
397	0.4881590973
398	0.4880015781
399	0.4878150761
